System,F1,F1 Definition,BERT Score,Hallucination Rate,Semantic Similarity,Response Time,Significance (Hallucination),F1 Note
GraphRAG,0.1096,Graph-node retrieval match,0.8604,0.0033,0.5881,6.0047,*,Graph-node retrieval match
Naive RAG,0.7195,Answer-entity match,0.8604,0.0204,0.8308,4.0152,*,Answer-entity match
